pt,int,hz,ppm
868,4690730,8741.1,115.776
869,4692570,8742.57,115.796
870,4694410,8744.04,115.815
871,4696240,8745.5,115.834
872,4698080,8746.97,115.854
873,4699920,8748.44,115.873
874,4701760,8749.91,115.893
875,4703590,8751.38,115.912
876,4705430,8752.84,115.932
877,4707270,8754.31,115.951
878,4709110,8755.78,115.971
879,4710950,8757.25,115.99
880,4714130,8758.72,116.009
881,4717310,8760.19,116.029
882,4720480,8761.65,116.048
883,4723660,8763.12,116.068
884,4726840,8764.59,116.087
885,4730020,8766.06,116.107
886,4733200,8767.53,116.126
887,4736380,8768.99,116.146
888,4739560,8770.46,116.165
889,4742740,8771.93,116.185
890,4745910,8773.4,116.204
891,4749090,8774.87,116.223
892,4752270,8776.33,116.243
893,4755450,8777.8,116.262
894,4758630,8779.27,116.282
895,4761810,8780.74,116.301
896,4764990,8782.21,116.321
897,4768160,8783.68,116.34
898,4771340,8785.14,116.36
899,4774520,8786.61,116.379
900,4777700,8788.08,116.398
901,4780880,8789.55,116.418
902,4784060,8791.02,116.437
903,4784810,8792.48,116.457
904,4785170,8793.95,116.476
905,4785530,8795.42,116.496
906,4785890,8796.89,116.515
907,4786250,8798.36,116.535
908,4786600,8799.82,116.554
909,4786960,8801.29,116.573
910,4787320,8802.76,116.593
911,4787680,8804.23,116.612
912,4788040,8805.7,116.632
913,4788400,8807.17,116.651
914,4788760,8808.63,116.671
915,4789120,8810.1,116.69
916,4789480,8811.57,116.71
917,4789840,8813.04,116.729
918,4790190,8814.51,116.748
919,4790550,8815.97,116.768
920,4790910,8817.44,116.787
921,4791270,8818.91,116.807
922,4791630,8820.38,116.826
923,4791990,8821.85,116.846
924,4792350,8823.31,116.865
925,4792710,8824.78,116.885
926,4792810,8826.25,116.904
927,4792830,8827.72,116.923
